Qty,Value,Device,Package,Description,PARTNUM,VALUE,Knob,TempProbe,Controller,Base,IRRemote,MotorDriver,Joystick,BlankSlate,Display
,,,,Product Qty,,,500,250,500,500,100,250,250,100,500
250,BOM_ITEM,BOM_ITEM,,,Temp Probe PCB,,,250,,,,,,,
100,DEVICE-PCB-TABS,DEVICE-PCB-TABS,DEVICE-PCB-TABS,Modulo Footprint,IRRemote PCB,,,,,,100,,,,
500,BAT54T1G,DIODESOD-123,SOD-123,Diode,BAT54T1G,,,,,,,,,,500
250,BOM_ITEM,BOM_ITEM,,,F221B1/2 CL210,,,250,,,,,,,
3500,DIODE-SCHOTTKY-BAT60A,DIODE-SCHOTTKY-BAT60A,SOD-323,,BAT60A,,,,3500,,,,,,
250,,M063.5MM-6,SCREWTERMINAL-3.5MM-6,Header 6,OSTTE060104,,,,,,,250,,,
2000,SWITCH-PTS-810,SWITCH-PTS-810,TACT-SWITCH-PTS-810,,PTS810 SJM 250 SMTR LFS,,,,500,,,,,,1500
500,foot,BOM_ITEM,,,Base PCB,,,,,500,,,,,
250,DEVICE-PCB-TABS,DEVICE-PCB-TABS,DEVICE-PCB-TABS,Modulo Footprint,Joystick PCB,,,,,,,,250,,
850,LED-1206-REV,LED-1206-REV,LED-1206-REV,LED,LTST-C230TBKT,,500,,,,100,,250,,
500,DEVICE-PCB-TABS,DEVICE-PCB-TABS,DEVICE-PCB-TABS,Modulo Footprint,Knob PCB,,500,,,,,,,,
1500,,PINHD-1X6LOCK,1X06-BIGLOCK,PIN HEADER,PREC006SAAN-RC,,,,1500,,,,,,
3600,150Ω,RESISTOR-150Ω,0603,Resistor,ERJ-3EKF1500V,150Ω,2500,,,,300,,,800,
250,TRIMPOT,TRIMPOT,TRIMPOT-3MM,,PVZ3A103C01R00,,,,,,,250,,,
1450,ATTINY48/88-TQFP,ATTINY48/88-TQFP,TQFP-32,,ATTINY48-AUR,,500,250,,,100,250,250,100,
