"Qty","Value","Device","Package","Parts","Description","BOM","NOBOM","PARTNUM","VALUE",
"4","","M04LOCK","1X04_LOCK","2-JP1, 2-JP3, 2-JP5, 2-JP6","Header 4","","","M20-9750446","",
"1","10uF","CAPACITOR-10UF","0603","2-C1","Capacitor","","","GRM188R61C106MA73D","10uF",
"2","12Ω","RESISTOR-12Ω","0603","2-R1, 2-R2","Resistor","","","ERJ-PA3J120V","12Ω",
"2","5kΩ","RESISTOR-5KΩ","0603","2-R3, 2-R4","Resistor","","","ERJ-3EKF5101V","5kΩ",
"2","CARD-GUIDE","CARD-GUIDE","CARD-GUIDE-2","2-G1, 2-G3","","","","HCG-201-165","",
"1","CARD-GUIDE","CARD-GUIDE","CARD-GUIDE-2","2-G2","","","","HCG-202-165","",
"4","FOOT","FOOT","FOOT","2-FOOT1, 2-FOOT2, 2-FOOT3, 2-FOOT4","","","","SJ61A4","",
"3","HEADER-MODULO","HEADER-MODULO","JST-PA-SIDE-SMD","2-JP2, 2-JP4, 2-JP7","","","","4P-SMD-2.0-90D","",
"2","RB751V40","DIODE-SCHOTTKY-BAT60A","SOD-323","2-D1, 2-D2","","","","RB751V40","",
"1","VREG-MIC5205-3.3V","VREG-MIC5205-3.3V","SOT23-5","2-U1","V_REG MIC5219","","","MIC5205-3.3YM5 TR","",
"1","foot","BOM_ITEM","","2-PCB1","","","","Base PCB","",
