"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"3","","PINHD-1X6LOCK","1X06-BIGLOCK","3-JP3, 3-JP4, 3-JP5","PIN HEADER","","M20-9990646","",
"3",".1uF","CAPACITOR-.1UF","0603","3-C4, 3-C7, 3-C8","Capacitor","","C0603C104K5RACTU",".1uF",
"3","10uF","CAPACITOR-10UF","0603","3-C1, 3-C6, 3-C9","Capacitor","","GRM188R61C106MA73D","10uF",
"1","10uH","INDUCTOR-10UH","0603","3-L1","","","BLM18TG102TN1D","10uH",
"2","18pF","CAPACITOR-18PF","0603","3-C2, 3-C3","Capacitor","","C0603C180J5GACTU","18pF",
"2","1KΩ","RESISTOR-1KΩ","0603","3-R9, 3-R10","Resistor","","ERJ-3EKF1001V","1KΩ",
"6","470Ω","RESISTOR-470Ω","0603","3-R3, 3-R4, 3-R5, 3-R6, 3-R7, 3-R8","Resistor","","ERJ-3EKF4700V","470Ω",
"1","56uF","CAPACITOR-POL-56UF-25V","PANASONIC_D","3-C5","","","EMVA250ADA560MF55G","56uF",
"2","5kΩ","RESISTOR-5KΩ","0603","3-R1, 3-R2","Resistor","","ERJ-3EKF5101V","5kΩ",
"1","ATSAMD21E18A-AU","SAMD21E","TQFP-32","3-U1","","","ATSAMD21E18A-AUT","ATSAMD21E18A-AU",
"1","CRYSTAL-AB26TRQ-32.768K","CRYSTAL-AB26TRQ-32.768K","CRYSTAL-AB26TRQ","3-X1","","","AB26TRQ-32.768KHZ-T","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","3-PCB1","Modulo Footprint","","Controller PCB","",
"1","DIODE-SCHOTTKY","DIODE-SCHOTTKY","SMP","3-D1","","","SS3P3-M3/84A","",
"6","DIODE-SCHOTTKY-BAT60A","DIODE-SCHOTTKY-BAT60A","SOD-323","3-D2, 3-D3, 3-D4, 3-D5, 3-D6, 3-D7","","","RB751V40","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","3-JP2","","","147721-3","",
"1","M02LOCK","M02LOCK","1X02_LOCK","3-JP6","Standard 2-pin 0.1" header. Use with","","M20-9990246","",
"1","SWITCH-PTS-810","SWITCH-PTS-810","TACT-SWITCH-PTS-810","3-SW1","","","PTS810 SJM 250 SMTR LFS","",
"1","USBFCI-MICROB","USBFCI-MICROB","USB-MICROB-FCI","3-JP1","","","10118193-0001LF","",
"1","VREG-MIC5205-3.3V","VREG-MIC5205-3.3V","SOT23-5","3-U2","V_REG MIC5219","","MIC5205-3.3YM5 TR","",
"1","blue","LED-0805-BLUE","0805-LED","3-LED1","LED","","LTST-C171KRKT","blue",
"1","blue","LED-0805-BLUE","0805-LED","3-LED2","LED","","LTST-C171TBKT","blue",
