RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,1.156,0.750,180
C2,Top,0.625,0.938,270
C3,Top,0.625,0.794,270
C4,Bottom,1.156,0.825,180
C5,Top,1.100,0.362,0
C6,Bottom,1.169,0.287,180
C7,Top,0.988,0.944,270
C8,Bottom,1.156,0.600,180
C9,Bottom,1.156,0.675,180
D1,Top,0.875,0.375,270
D2,Bottom,0.787,0.468,270
D3,Bottom,0.660,0.465,270
D4,Bottom,0.525,0.463,270
D5,Bottom,0.325,0.463,270
D6,Bottom,0.186,0.631,90
D7,Bottom,0.194,0.469,270
F1,Top,0.425,1.075,0
F2,Top,1.219,0.512,0
F3,Bottom,0.425,1.100,0
F4,Bottom,1.025,0.100,0
JP1,Top,1.012,0.060,0
JP2,Bottom,0.700,0.825,0
L1,Bottom,1.156,0.900,0
LED1,Top,0.500,0.823,90
LED2,Top,0.500,0.950,90
R1,Bottom,0.250,0.825,0
R2,Bottom,0.250,0.950,180
R3,Bottom,0.725,0.463,270
R4,Bottom,0.598,0.463,270
R5,Bottom,0.463,0.463,270
R6,Bottom,0.400,0.463,270
R7,Bottom,0.251,0.637,270
R8,Bottom,0.256,0.463,270
R9,Bottom,0.412,0.825,180
R10,Bottom,0.412,0.950,180
SW1,Top,0.887,1.075,180
U1,Top,0.963,0.688,0
U2,Bottom,1.083,0.482,270
X1,Top,0.713,0.887,270
