RefDes,Layer,LocationX,LocationY,Rotation
9-C1,Bottom,0.375,0.250,180
9-C2,Bottom,0.450,0.950,90
9-C3,Bottom,0.375,0.725,180
9-C4,Bottom,0.375,0.800,180
9-C5,Bottom,1.075,0.675,0
9-C6,Bottom,0.963,0.237,180
9-D1,Bottom,0.225,0.675,270
9-F1,Top,0.375,0.275,0
9-F2,Top,0.950,1.050,0
9-F3,Bottom,0.950,1.050,0
9-F4,Bottom,0.300,0.075,0
9-JP1,Bottom,0.225,0.250,270
9-JP2,Bottom,0.700,0.825,0
9-L1,Bottom,0.225,0.450,90
9-LED1,Top,0.500,0.100,90
9-R1,Bottom,0.375,0.325,180
9-R2,Bottom,0.950,0.825,270
9-R3,Bottom,0.325,0.625,90
9-R4,Bottom,0.425,0.625,270
9-R5,Bottom,1.075,0.350,90
9-R6,Bottom,1.075,0.200,90
9-R7,Bottom,0.412,0.175,0
9-SW1,Top,0.300,0.075,0
9-SW2,Top,0.700,0.075,0
9-SW3,Top,1.100,0.075,0
9-U1,Top,0.700,0.730,0
9-U2,Bottom,0.375,0.450,180
9-U3,Bottom,0.700,0.338,180
9-U4,Bottom,1.075,0.537,0
