"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","PROD_ID","VALUE",
"1","","LED5MM","LED5MM","LED2","LEDs","","IR928-6C-F","","",
"1",".1uF","CAPACITOR-.1UF","0603","C1","Capacitor","","C0603C104K5RACTU","",".1uF",
"1","10Ω","RESISTOR-0603","0603","R5","Resistor","","ERJ-3EKF10R0V","","",
"3","150Ω","RESISTOR-150Ω","0603","R2, R3, R4","Resistor","","ERJ-3EKF1500V","","150Ω",
"1","1KΩ","RESISTOR-1KΩ","0603","R1","Resistor","","ERJ-3EKF1001V","","1KΩ",
"1","ATTINY48/88-TQFP","ATTINY48/88-TQFP","TQFP-32","U2","","","ATTINY48-AUR","","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","PCB1","Modulo Footprint","","IRRemote PCB","","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP1","","","147733-3","","",
"1","LED-1206-REV","LED-1206-REV","LED-1206-REV","LED1","LED","","LTST-C230TBKT","","",
"1","MOSFET-PCHANNELIRLML2244","MOSFET-PCHANNELIRLML2244","SOT23-3","Q1","Generic PMOSFET","","DMG2305UX","TRANS-11153","",
"1","PNA460XM","PNA460XM","PNA460XM","U1","IR 38KHz receiver","","TSOP38338","","",
