"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"1",".1uF","CAPACITOR-.1UF","0603","6-C1","Capacitor","","C0603C104K5RACTU",".1uF",
"2","0Ω","RESISTOR-0Ω","0603","6-R8, 6-R9","Resistor","","ERJ-3GEY0R00V","0Ω",
"6","150Ω","RESISTOR-150Ω","0603","6-R2, 6-R3, 6-R4, 6-R5, 6-R6, 6-R10","Resistor","","ERJ-3EKF1500V","150Ω",
"2","1KΩ","RESISTOR-1KΩ","0603","6-R1, 6-R7","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY841","ATTINY841","SOIC-14","6-U2","","","ATTINY841-SSUR","",
"1","BOM_ITEM","BOM_ITEM","","6-CAP1","","","Knob Cap","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","6-PCB1","Modulo Footprint","","Knob PCB","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","6-JP1","","","147721-3","",
"1","LED-1206-REV","LED-1206-REV","LED-1206-REV","6-LED1","LED","","LTST-C230TBKT","",
"1","TopUp EC12PLRGBSDVBF-D","ENCODER_RGB_CASIDEPADS","ENCODER_LED_3_SIDEPADS","6-SW1","Illuminated Rotary Encoder w/ RGB LED and select switch","","TopUp EC12PLRGBSDVBF-D","",
