RefDes,Layer,LocationX,LocationY,Rotation
6-C1,Bottom,0.700,0.512,0
6-F1,Bottom,1.212,0.375,0
6-F2,Bottom,0.425,1.100,0
6-JP1,Bottom,0.700,0.825,0
6-LED1,Bottom,0.275,0.875,180
6-R1,Bottom,0.550,0.525,180
6-R2,Bottom,0.325,0.275,270
6-R3,Bottom,0.250,0.425,270
6-R4,Bottom,0.325,0.425,270
6-R5,Bottom,0.325,0.575,270
6-R6,Bottom,0.250,0.575,270
6-R7,Bottom,0.200,0.725,270
6-R8,Bottom,0.525,0.125,180
6-R9,Bottom,0.963,0.113,270
6-R10,Bottom,0.425,0.275,270
6-SW1,Top,0.700,0.600,90
6-U2,Bottom,0.725,0.375,270
