"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","RATING","VALUE",
"1","","M03LOCK_NO_SILK","1X03_LOCK_NO_SILK","JP2","Header 3","","M20-9990346","","",
"1","","M063.5MM-6","SCREWTERMINAL-3.5MM-6","JP3","Header 6","","OSTTE060104","","",
"1","","M08NO_SILK","1X08_NO_SILK","JP4","Header 8","","","","",
"2",".1uF","CAPACITOR-.1UF","0603","C1, C4","Capacitor","","C0603C104K5RACTU","",".1uF",
"1",".1uF","CAPACITOR-.1UF","0603","C2","Capacitor","","C0603C104K5RACTU",">20V",".1uF",
"2",".25Ω","RESISTOR2010","R2010","R3, R4","Resistor","","CSRN2010FKR250","","",
"1","1KΩ","RESISTOR-1KΩ","0603","R1","Resistor","","ERJ-3EKF1001V","","1KΩ",
"1","56uF","CAPACITOR-POL-56UF-25V","PANASONIC_D","C3","","","EMVA250ADA560MF55G",">20V","56uF",
"1","ATTINY48/88-TQFP","ATTINY48/88-TQFP","TQFP-32","U1","","","ATTINY48-AUR","","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","PCB1","Modulo Footprint","","Motor Driver PCB","","",
"1","DIODE-SCHOTTKY","DIODE-SCHOTTKY","SMP","D1","","","SS3P3-M3/84A","","",
"1","DRV8848","DRV8848","HTSSOP-16","U2","","","DRV8848","","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP1","","","147733-3","","",
"1","TRIMPOT","TRIMPOT","TRIMPOT-3MM","R2","","","PVZ3A103C01R00","","",
"1","blue","LED-0805-BLUE","0805-LED","LED1","LED","","LTST-C171TBKT","","blue",
"1","shunt","BOM_ITEM","","SHUNT1","","","SPC02SYAN","","",
