"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","RATING","VALUE",
"1","","M03LOCK_NO_SILK","1X03_LOCK_NO_SILK","5-JP2","Header 3","","M20-9990346","","",
"1","","M063.5MM-6","SCREWTERMINAL-3.5MM-6","5-JP3","Header 6","","OSTTE060104","","",
"1",".1uF","CAPACITOR-.1UF","0603","5-C1","Capacitor","","C0603C104K5RACTU","",".1uF",
"1",".1uF","CAPACITOR-.1UF","0603","5-C2","Capacitor","","C0603C104K5RACTU",">20V",".1uF",
"2",".25Ω","RESISTOR2010","R2010","5-R3, 5-R4","Resistor","","CSRN2010FKR250","","",
"2","0Ω","RESISTOR-0Ω","0603","5-R12, 5-R13","Resistor","","ERJ-3GEY0R00V","","0Ω",
"1","10uF","CAPACITOR-10UF","0603","5-C4","Capacitor","","GRM188R61C106MA73D","","10uF",
"1","1KΩ","RESISTOR-1KΩ","0603","5-R1","Resistor","","ERJ-3EKF1001V","","1KΩ",
"1","56uF","CAPACITOR-POL-56UF-25V","PANASONIC_D","5-C3","","","EMVA250ADA560MF55G",">20V","56uF",
"1","ATTINY841","ATTINY841","SOIC-14","5-U3","","","ATTINY841-SSUR","","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","5-PCB1","Modulo Footprint","","Motor Driver PCB","","",
"1","DIODE-SCHOTTKY","DIODE-SCHOTTKY","SMP","5-D1","","","SS3P3-M3/84A","","",
"1","DRV8848","DRV8848","HTSSOP-16","5-U2","","","DRV8848PWP","","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","5-JP1","","","147721-3","","",
"1","MCP4013","MCP4013","SOT-23-6","5-U1","","","MCP4013T-503E/CH","","",
"1","RB751V40","DIODE-SCHOTTKY-BAT60A","SOD-323","5-D2","","","RB751V40","","",
"1","blue","LED-0805-BLUE","0805-LED","5-LED1","LED","","LTST-C171TBKT","","blue",
"1","shunt","BOM_ITEM","","5-SHUNT1","","","SPC02SYAN","","",
