RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.688,1.069,180
C2,Bottom,1.181,0.625,180
C3,Top,1.044,0.562,0
C4,Top,0.450,0.500,270
D1,Bottom,0.975,0.925,180
F1,Bottom,0.950,1.100,0
F2,Bottom,0.200,0.294,0
F3,Top,0.200,0.294,0
F4,Top,0.844,0.762,0
JP1,Bottom,0.700,0.825,0
LED1,Top,0.688,1.075,270
R1,Top,0.537,1.075,180
R3,Bottom,0.925,0.087,180
R4,Bottom,0.500,0.087,180
R12,Bottom,0.506,1.075,0
R13,Bottom,0.175,0.550,90
SJ1,Top,0.188,0.381,90
SJ2,Bottom,0.750,0.087,180
SJ3,Bottom,0.300,0.075,180
U1,Top,0.300,0.463,90
U2,Top,0.700,0.575,0
U3,Top,0.325,0.950,270
