Screaming Circuits SMD component position file.

Centroid Data for pc board: "Grid.brd" as of: 6/18/15 10:38 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.362,0.438,90
C2,Top,0.880,0.675,180
C3,Top,0.757,0.675,180
C4,Bottom,0.600,0.600,90
C5,Top,0.555,0.205,270
C6,Top,0.300,0.412,90
C7,Bottom,1.188,0.938,180
C8,Top,0.362,1.738,90
C9,Top,0.555,1.505,270
C10,Top,0.300,1.712,90
C11,Top,0.757,1.975,180
C12,Top,0.880,1.975,180
C13,Bottom,0.600,1.900,90
C14,Bottom,1.188,2.237,180
C15,Bottom,2.688,1.587,270
C16,Bottom,2.350,1.587,270
C17,Bottom,2.650,2.000,270
C18,Bottom,2.650,1.800,270
C19,Bottom,2.688,0.287,270
C20,Bottom,2.350,0.287,270
C21,Bottom,2.650,0.700,270
C22,Bottom,2.650,0.500,270
C23,Top,3.300,2.000,0
C24,Top,3.300,0.700,0
C25,Top,4.075,3.112,90
C26,Top,3.263,3.638,270
C27,Top,3.312,3.163,90
C28,Top,3.913,3.263,180
C29,Top,4.188,3.087,180
C30,Bottom,2.275,3.400,180
C31,Top,0.650,3.513,90
D1,Bottom,2.150,1.550,90
D2,Bottom,2.150,0.250,90
D3,Top,3.212,3.112,90
D4,Top,3.212,3.388,270
F1,Top,0.175,0.297,90
F2,Top,0.175,1.597,90
FOOTPRINT,Top,0.000,0.000,0
FOOTPRINT1,Top,0.000,1.300,0
LED,Top,3.700,3.700,90
LED1,Top,0.700,1.107,270
LED2,Top,1.222,0.677,0
LED3,Top,0.700,2.408,270
LED4,Top,1.222,1.978,0
LED5,Top,3.700,2.400,270
LED6,Top,3.700,1.100,270
LED7,Top,2.200,3.700,90
LED8,Top,0.700,3.700,90
LED10,Top,0.600,3.300,180
PCB1,Top,1.500,1.300,0
PCB2,Top,1.500,0.000,0
PCB3,Top,3.000,1.300,0
PCB4,Top,3.000,0.000,0
PCB5,Top,3.000,2.600,0
Q1,Top,0.823,0.790,90
Q2,Top,0.463,0.362,180
Q3,Top,0.270,0.290,180
Q4,Top,0.463,1.663,180
Q5,Top,0.270,1.590,180
Q6,Top,0.823,2.090,90
R1,Top,0.718,0.988,180
R2,Top,0.963,0.825,180
R3,Top,0.175,0.537,90
R4,Top,0.200,0.425,0
R5,Top,0.562,0.400,90
R6,Top,0.537,1.113,0
R7,Top,1.225,0.545,90
R8,Top,0.190,1.065,0
R9,Top,0.362,0.312,90
R10,Top,0.275,1.125,0
R11,Top,0.415,1.117,0
R12,Top,0.190,1.000,0
R13,Bottom,1.150,0.550,270
R14,Bottom,0.963,0.525,180
R15,Bottom,0.750,0.600,270
R16,Bottom,0.725,0.738,270
R17,Bottom,0.675,0.600,270
R18,Bottom,0.650,0.738,270
R19,Top,0.175,1.837,90
R20,Top,0.200,1.725,0
R21,Top,0.718,2.288,180
R22,Top,0.963,2.125,180
R23,Top,0.562,1.700,90
R24,Top,0.362,1.613,90
R25,Top,0.537,2.413,0
R26,Top,0.190,2.365,0
R27,Top,0.275,2.425,0
R28,Top,0.415,2.417,0
R29,Top,0.190,2.300,0
R30,Top,1.225,1.845,90
R31,Bottom,1.150,1.850,270
R32,Bottom,0.963,1.825,180
R33,Bottom,0.750,1.900,270
R34,Bottom,0.725,2.038,270
R35,Bottom,0.675,1.900,270
R36,Bottom,0.650,2.038,270
R37,Bottom,2.025,1.587,270
R38,Bottom,2.025,0.287,270
R39,Top,3.400,2.400,180
R40,Top,3.400,2.275,180
R41,Top,3.600,2.275,180
R42,Top,4.000,2.275,0
R43,Top,3.800,2.275,180
R44,Top,3.400,1.100,180
R45,Top,3.400,0.975,180
R46,Top,3.600,0.975,180
R47,Top,4.000,0.975,0
R48,Top,3.800,0.975,180
R49,Top,3.888,3.700,0
R50,Top,3.875,3.038,180
R51,Top,3.913,3.138,270
R52,Top,3.513,3.650,0
R53,Top,4.188,2.987,180
R54,Bottom,2.462,3.212,270
R55,Top,1.050,3.500,270
R56,Top,0.875,2.975,0
R57,Top,0.500,3.513,270
SJ1,Top,1.075,0.825,180
SJ2,Top,1.075,2.125,180
SW1,Top,0.938,1.050,90
SW2,Top,0.938,2.350,90
SW3,Top,1.812,1.400,270
SW4,Top,2.200,1.400,270
SW5,Top,2.587,1.400,270
SW6,Top,1.812,0.100,270
SW7,Top,2.200,0.100,270
SW8,Top,2.587,0.100,270
U$2,Top,0.850,3.400,270
U$3,Top,0.000,2.600,0
U$7,Top,1.500,2.600,0
U1,Top,1.188,0.900,0
U2,Top,0.425,0.775,90
U3,Top,0.362,0.060,0
U4,Top,0.425,2.075,90
U5,Top,0.362,1.360,0
U6,Top,1.188,2.200,0
U7,Bottom,1.850,1.587,180
U8,Bottom,2.250,2.013,0
U9,Bottom,2.500,1.587,270
U10,Top,2.200,1.870,180
U11,Bottom,1.850,0.287,180
U12,Bottom,2.250,0.713,0
U13,Bottom,2.500,0.287,270
U14,Top,2.200,0.570,180
U15,Top,3.337,1.900,270
U16,Top,3.337,0.600,270
U17,Top,4.100,3.200,90
U18,Top,3.600,3.288,90
U19,Bottom,2.263,3.300,270
U20,Top,2.200,3.200,180
