Manufacturer,Part Number,Category,Description,Package,Assembly Type,Substitutions,Notes
Micrel,MIC5205-3.3YM5 TR,IC,3.3V Regulator,sot-23-5,SMD,Approval Required,
Panasonic,ERJ-3EKF1500V,Resistor,150 Ohm 1% 1/10W,0603,SMD,Allowed,
Panasonic,ERJ-3EKF4700V,Resistor,470 Ohm 1% 1/10W,0603,SMD,Allowed,
Panasonic,ERJ-3EKF1001V,Resistor,1k Ohm 1% 1/10W,0603,SMD,Allowed,
Panasonic,ERJ-3EKF1304V,Resistor,1.33 MOhm 1% 1/10W,0603,SMD,Allowed,
Panasonic,ERJ-3EKF10R0V,Resistor,10 Ohm 1% 1/10W,0603,SMD,Allowed,
Stackpole,CSRN2010FKR250,Resistor,.25 Ohm 1% 1W,2010,SMD,Allowed,
Panasonic,ERJ-3EKF1002V,Resistor,10 kOhm 1% 1/10W,0603,SMD,Allowed,
Lite-On Inc,LTST-C230TBKT,LED,Blue Reverse Mount,1206,SMD,Approval Required,
Lite-On Inc,LTST-C171TBKT,LED,Blue,0805,SMD,Approval Required,
Lite-On Inc,LTST-C171KRKT,LED,Red,0805,SMD,Approval Required,
Eaton Bussman,MPI2520R1-100-R,Inductor,10uH,1008,SMD,Approval Required,
Murata,BLM18TG102TN1D,Inductor,10uH Ferrite Bead,0603,SMD,Approval Required,
Diodes Inc,DMG2305UX-7,IC,P Channel Mosfet,sot-23-3,SMD,Approval Required,
Fairchild,FAN5331SX,IC,Boost Converter,sot-23-5,SMD,Not Allowed,
Atmel,ATSAMD20E17A-AU,IC,Microcontroller,tqfp-32,SMD,Not Allowed,
Atmel,ATSAMD21E18A-AUT,IC,Microcontroller,tqfp-32,SMD,Not Allowed,
TI,DRV8848PWP,IC,Motor Driver,tssop-16,SMD,Not Allowed,
C&K,PTS810 SJM 250 SMTR LFS,Electromechanical,Tactile Switch,,SMD,Not Allowed,
Murata,PVZ3A103C01R00,Electromechanical,Trim Potentiometer,,SMD,Approval Required,
Abracon,AB26TRQ-32.768KHZ-T,Crystal,32.768kHz,,SMD,Approval Required,
JST,SM04B-PASS-TBT(LF)(SN),Connector,4P JST Cable Header,,SMD,Not Allowed,
FCI,10118193-0001LF,Connector,Micro USB,,SMD,Not Allowed,
Murata,GRM188R61C106MA73D,Capacitor,10uF Ceramic Chip 16V 20% X5R,,SMD,Allowed,
Kemet,C0603C104K5RACTU,Capacitor,.1uF Ceramic Chip 50V 10% X7R,,SMD,Allowed,
Kemet,C0603C180J5GACTU,Capacitor,18pF Ceramic Chip 50V 5% NP0,,SMD,Allowed,
United Chemi-Con,EMVA250ADA560MF55G,Capacitor,56uF Electrolytic 25V 20%,,SMD,Allowed,
Atmel,ATTINY841-SSUR,IC,Microcontroller,soic-16,SMD,Not Allowed,
NXP,RB751V40,Diode,Schottky,,SMD,Approval Required,
Vishay,SS3P3-M3/84A,Diode,Schottky,smp,SMD,Approval Required,
Everlight,IR928-6C-F,LED,Infrared,,PTH,Approval Required,
Vishay,TSOP38338,LED,IR Receiver,,PTH,Approval Required,
Harwin,M20-9990646,Connector,6P Vertical Pin Header,,PTH,Approval Required,
On-Shore,OSTTE060104,Connector,6P Screw Terminal,,PTH,Approval Required,
Harwin,M20-9750446,Connector,4P Right Angle Pin Header,,PTH,Approval Required,Space off PCB with card stock before soldering
Harwin,M20-9990346,Connector,3P Vertical Pin Header,,PTH,Approval Required,
Harwin,M20-9990246,Connector,2P Vertical Pin Header,,PTH,Approval Required,
Sullins,PPTC182LFBN-RC,Connector,36P Vertical Socket,,PTH,Approval Required,
TE,147721-3,Connector,4P Right Angle Socket,,PTH,Approval Required,
TBD,TopUp EC12PLRGBSDVBF-D,Electromechanical,Rotary Encoder,,PTH,Consigned,Requires bending and hand soldering of retention tabs
,Joystick,Electromechanical,,,PTH,Consigned,
Sullins,SPC02SYAN,Electromechanical,Shunt,,Exclude,Exclude,
Bivar,HCG-201-165,Mechanical,Edge Card Guide,,Exclude,Exclude,Snaps into holes in PCB
Bivar,HCG-202-165,Mechanical,Center Card Guide,,Exclude,Exclude,Snaps into holes in PCB
,Knob Cap,Mechanical,Cap for Rotary Encoder,,Exclude,Exclude,
3M,SJ61A4,Mechanical,Self adhesive rubber feet,,Exclude,Exclude,
buydisplay.com,ER-OLED0.95-2C,Display,OLED Display,,Hot Bar,Consigned,Flex circuit must be hot bar soldered to PCB
Vishay,NTCLE413E2103F102L,Cable,Thermistor Cable,,Hand Solder,Approval Required,Leads must be threaded through strain relief holes in PCB and hand soldered
,F221B1/2 CL210,Mechanical,Heat Shrink Tubing,,Exclude,Exclude,Exclude part. Will be applied after programming/testing by Modulo Labs
,IRRemote PCB,Circuit Board,,,PCB,,
,Joystick PCB,Circuit Board,,,PCB,,
,Display PCB,Circuit Board,,,PCB,,
,Knob PCB,Circuit Board,,,PCB,,
,Blank Slate PCB,Circuit Board,,,PCB,,
,Motor Driver PCB,Circuit Board,,,PCB,,
,Controller PCB,Circuit Board,,,PCB,,
,Base PCB,Circuit Board,,,PCB,,
,Temp Probe PCB,Circuit Board,,,PCB,,
,Particle Base PCB,Circuit Board,,,PCB,,
