"Qty","Value","Device","Package","Parts","Description","BOM","NOBOM","PARTNUM","VALUE",
"1","","BOM_ITEM","","BOM5","","","","Particle Base PCB","",
"4","","M04LOCK","1X04_LOCK","JP1, JP3, JP5, JP6","Header 4","","","M20-9750446","",
"1","10uF","CAPACITOR-10UF","0603","C2","Capacitor","","","GRM188R61C106MA73D","10uF",
"2","12Ω","RESISTOR-12Ω","0603","R3, R4","Resistor","","","ERJ-PA3J120V","12Ω",
"1","56uF","CAPACITOR-POL-56UF-25V","PANASONIC_D","C1","","","","EMVA250ADA560MF55G","56uF",
"2","5kΩ","RESISTOR-5KΩ","0603","R1, R2","Resistor","","","ERJ-3EKF5101V","5kΩ",
"2","CARD-GUIDE","CARD-GUIDE","CARD-GUIDE-2","G1, G3","","","","HCG-201-165","",
"1","CARD-GUIDE","CARD-GUIDE","CARD-GUIDE-2","G2","","","","HCG-202-165","",
"2","HEADER-2X18","HEADER-2X18","2X18-LOCK","JP8, JP9","","","","12x2 Receptacle","",
"3","HEADER-MODULO","HEADER-MODULO","JST-PA-SIDE-SMD","JP2, JP4, JP7","","","","4P-SMD-2.0-90D","",
"2","RB751V40","DIODE-SCHOTTKY-BAT60A","SOD-323","D1, D2","","","","RB751V40","",
"1","SOLDERJUMPERNO","SOLDERJUMPERNO","SJ_2S-NO","SJ1","Solder Jumper","","","","",
"1","VREG-MIC5205-3.3V","VREG-MIC5205-3.3V","SOT23-5","U1","V_REG MIC5219","","","MIC5205-3.3YM5 TR","",
"4","foot","BOM_ITEM","","BOM1, BOM2, BOM3, BOM4","","","","SJ61A4","",
