"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"3",".1uF","CAPACITOR-.1UF","0603","C1, C2, C3","Capacitor","","C0603C104K5RACTU",".1uF",
"1","10KΩ","RESISTOR-10KΩ","0603","R1","Resistor","","ERJ-3EKF1002V","10KΩ",
"1","10uH","INDUCTOR-10UH","0603","L1","","","BLM18TG102TN1D","10uH",
"1","1KΩ","RESISTOR-1KΩ","0603","R2","Resistor","","ERJ-3EKF1001V","1KΩ",
"1","ATTINY48/88-TQFP","ATTINY48/88-TQFP","TQFP-32","U1","","","ATTINY48-AUR","",
"1","BOM_ITEM","BOM_ITEM","","HS1","","","F221B1/2 CL210","",
"1","BOM_ITEM","BOM_ITEM","","PCB1","","","Temp Probe PCB","",
"1","HEADER-1X4-JST-PA-SIDE-SMD","HEADER-1X4-JST-PA-SIDE-SMD","JST-PA-SIDE-SMD","JP1","","","SM04B-PASS-TBT(LF)(SN)","",
"1","Thermistor","BOM_ITEM","","PROBE1","","","NTCLE413E2103F102L","",
"1","blue","LED-0805-BLUE","0805-LED","LED1","LED","","LTST-C171TBKT","blue",
